dataset,query_mode,workload,query_id,method,seed,table,alias,predicate_count,actual_cardinality,estimated_cardinality,q_error,signed_log10_error,bias,source_sql_path
Hollywood200K,balanced_duckdb_pg_200k,JOB,1a,DuckDB,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/1a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1a,PostgreSQL,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/1a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1a,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/1a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1a,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/1a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1a,DuckDB,,movie_companies,mc,2,176168,155419,1.1335036256828315,-0.05442291362136155,under,queries/job/1a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1a,PostgreSQL,,movie_companies,mc,2,176168,102709,1.7152148302485664,-0.23431852306589046,under,queries/job/1a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,DuckDB,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/1b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,PostgreSQL,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/1b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/1b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/1b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,DuckDB,,movie_companies,mc,1,457643,155419,2.9445756310361024,-0.46902271359534164,under,queries/job/1b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,PostgreSQL,,movie_companies,mc,1,457643,456456,1.002600469705733,-0.0011279037385950122,under,queries/job/1b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,DuckDB,,title,t,1,1521,70291,46.21367521367522,1.664770507829463,over,queries/job/1b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,PostgreSQL,,title,t,1,1521,1781,1.170940170940171,0.06853470541024514,over,queries/job/1b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,DuckDB,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/1c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,PostgreSQL,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/1c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/1c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/1c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,DuckDB,,movie_companies,mc,2,176168,155419,1.1335036256828315,-0.05442291362136155,under,queries/job/1c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,PostgreSQL,,movie_companies,mc,2,176168,102709,1.7152148302485664,-0.23431852306589046,under,queries/job/1c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/1c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/1c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,DuckDB,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/1d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,PostgreSQL,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/1d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/1d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/1d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,DuckDB,,movie_companies,mc,1,457643,155419,2.9445756310361024,-0.46902271359534164,under,queries/job/1d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,PostgreSQL,,movie_companies,mc,1,457643,456456,1.002600469705733,-0.0011279037385950122,under,queries/job/1d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/1d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/1d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2a,DuckDB,,company_name,cn,1,9,273,30.333333333333332,1.4819201376014313,over,queries/job/2a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2a,PostgreSQL,,company_name,cn,1,9,9,1.0,0.0,exact,queries/job/2a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2a,DuckDB,,keyword,k,1,1,2,2.0,0.3010299956639812,over,queries/job/2a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2a,PostgreSQL,,keyword,k,1,1,1,1.0,0.0,exact,queries/job/2a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2b,DuckDB,,company_name,cn,1,1362,273,4.989010989010989,-0.6980144605360104,under,queries/job/2b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2b,PostgreSQL,,company_name,cn,1,1362,1362,1.0,0.0,exact,queries/job/2b.sql
